kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
a,ah,-,"keto hae qumau-qau 'i o hada, ah, dia lagi akan membohongi"
aa,dalam,ari - mbotingu,dari dalam keranjang
aa,"sungai, kali",opw z woi wose petuhari'i hende - mowewe,berapa kali besar yang bermuara se
aa,pinggang,- no monga,pinggang
aabola,kamar perahu,mbewiso doeke i - tetebua ikuno,tikus yang masuk di. kamar perahu kelihatan
aahua,sumur,ano inau petuha butu sa/a i -,dia pergi turun menuju jalan ke sumur
aahuano,sumurnya,mbemaroi i - rondembelaa mbendudu kuluri mbebaho,ramai sumurnya burung
aalaa,sungai,no ponggi o nw tolu pu'u nggasu i wiwi -,dia melihat dua tiga pohon kayu di tepi sungai
aalahambuti,aalahambuti,aalee tinamoako -,sehingga dinamakan
aalepa,bakul,anorurui umulambendua'i i -,"dia pungut, dia isi kern"
aandembe,pelimbahan,andi-andino motonda ine tembe (i -},antingantingnya jatuh ke pelimbahan
aandoolo,hutan belantara,sabutuno mengaruhi dungguito i - motu 'o,tepat magrib sampailah. di hutan
aanggalo,lembah,o pitu - tinawunino,tujuh lembah yang ditim
aangineke,sumur,i -,di sumur
aarano,bencah,- hende-hendeikaa wuta menggedo,tanah bencah
"aasaki, aasakindahi seberang",laut,laa iropo nggo dunggu mengapa inggapano mokele i -,mereka akan sampai berlabuh di pelabuhan raja
agarna,agama,iso-iso tembono leu -,dahulu waktu datang agama
aha,besar,pe 'eka i laika -,naik di
aha,tengkorak,anopekali'ako - uluno anopundusaki wala'ako tengge' Iarina,dibuangkanlah tengkoraknya dan betisnya dijadikan
ahu,asap,mendoda ako - apino ari mondae,jelas sekali asap apinya
ahua,sumur,moia meena i woino - nggineke,air sumur jernih sekali
"ahupio, umahupio",menimba,i bioiwoi,"Bio menimba air 1 ai engkau: - oolu 'aku akupowisopo le 'esu ine rapi, engkau tunggu saya, saya masuk dahulu ke dalam kamar"
aimbelako,engkau sekalian pergi,- kumiki'i nggiro'o ranoa,kamu sekalian pergi melihat semangka
ai,kalian,kei dunggu i raha - ponahu,"kalau kalian sampai di rumah, kalian memasak"
ai,kamu,- amba umale'ekee,kamu
akan,mengambilkan,,
aioru,kamu segera,saa menggano mbe'aru - mbe'ina'u,"seketika fajar menyingsing, engkau segera ke"
ai,supaya anda,- petuha,"supaya sai agar: - peookilowu mbele, agar 6.. d 31, o az arang: mon unu -, mem-"
ainimo,ke bun,ianku nggo lako i - no,saya akan pergi ke kebunnya
aiso,hampir,haido - leu,adiknya
aisoito,hampir,- kenangia mokole i wolio,hampir kalah raja di
akala,akal,tomboowaindawa,kita
aki,karni,- leu mokowaliko rumuru 'i,karni datang membantumu
ako,sekali,o,"wose -, besar sekali"
anaakono,semua anaknya,laa'iroto mbemolako-lako i une laika' aha - Sangia,semua anak Sangia ada berjalan-jalan di dalam rumah
aku,saya,no anggo kumaa -,dia
ala,Allah,ombu - taala,Tuhan Al
ala,lumbung,nggiro 'o o -,lumbung itu
alando,lumbung kita,atoara-arai atopopambai o ni'ino -,kita
ale,ambil,a no - nggiro 'ono o ika,dia ambil ikan itu
alee,mengambil,ano ene pe 'eka i laika,"- kumopu 'i anano, pergi naik ke rumah mengambil (memeluk) anaknya"
pokoalei,mengambil,inakuki taku - sedangkan saya tidak bisa mengambilnya,
umale,mengambil,oki de'ela no inaku - i,"bukan saya, kasihan yang mengambil"
umale'i,mengambil,inggo'o - o doi ine ta 'asi,kamu yang meng
ambil,uang di tas,umale•ikee ambilkan: iamo - kinano,jangan ambilkan makanannya
aleikee,ambilkan,- pekano ano lako kumabi,"ambilkan pancing besamya, dia akan pergi memancing"
aleito,ambilkan,maa - anoorn mbule,"ya, ambillah supaya dia"
ale-laei,bela,iee no - ana dalo telari nggiro 'o,ia bela anak yang nakal itu
umalei-alei,membela,inae -ana daio mekulero nggiro 'o siapa yang membela anak yang berkelahi itu?,
poalo-alo,pembela,iee metunuako tumotondai onggono,ia pejuang
aleuti,nama kampung,-,"sambeani, hongoa, ronga aului, Aleuti, Sambeani, Hongoa, dengan Aului"
Ali,Ali (nama orang),o tolu o wula nggauno i - no lako,"Ali pergi 1a1o, ma'alo mengambil: i lakota - o kasu, pergilah mengambil kayu"
mo'alokee,mengambilkan,inaku -hero iwoi ininu,saya mengambilkan mereka air minum
poalo,mengambil,no - purnndawa ronga tainahu,dia mengambil sayur dan lauk
mo'alokona,mengambil aku,no laa lako - iwoi,sedang dia pergi
mengambilkan,air bagiku,inalo diambil: o pitu to -no,sudah tujuh yang diambilnya
"aio,t.alo",laku,dadioambahfno,
ato,bantu,mbekaalo - ako,bantu
"alu, aluno",penumbuknya,ku 'onggo /ako monduekee - nainamu,saya akan pergi memotongkan penum
ama,ayah,alii'konato -,belikanlah
meama-peama,panggil bapak,illmota u - keinaku,tak usah kau
panggil,bapak pada saya,,
amamu,bapakmu,kikii'ipo - botu 'ito tiano,lihatlah bapakmu sudah meletus perutnya
amanggu,bapakku,no'oliwi'aku i mbue ronga - saya diberi pesan oleh nenek dan bapakku,
amando,bapak kita,kioki nohori matekupoipi iwingi laikaa taro,"bapak kita belum meninggal, saya mimpi tadi malam (ia) masih hidup"
amano,ayahnya,no oolui -. ia,
amba,baru,mohinapo akuwotai,besoklah baru saya belah
anoamba,baru,- i Toloheru mombeopeonasa,baru Tolohoru
amba,pula,ano -,lagi pula
"amba, o amba",ranjau,iamo melasi' ako loa -,"jangan kau melompat,"
"amba,anoamba",kemudian,-lako o hada nggiro 'o,"kemudian kera itu 5amba, ambatokaahae sekiranya,"
"amba, amba'angguki saya",akan,maa laa'iki nggua'o kalabarianggu - humunu 'iko 'o kalau ada di situ parangku akan saya bakarkan,
ambahi,tikar,- ronga paalua nosoui i ina,tikar dan bantal di jahit ibu lambo ampun: mongani omemin
ambongikomami,rnaafkan kami,mberiou,"maafkan kami, yang"
"ambo, me'ambo","baik, bagus",- ito ku mbule mbiha,lebih baik saya pulang saja
ambonopo,dianggap baik,- mesangginas keno posua omera hende !mba memaheno,dianggap baik untuk kawin kalau menemukan perempuan seperti lmba can
ambolu,dapur,i ina menahu i -,ibu
ambonggupo,nanti saya,- hae te' eni odonga umokora ronga umoseka,nanti saya mengatakan bahwa rusa kuat dan berani
amiu,kalian,umbe lako - momekemeka,kalian pergi memancing di
amoto,jangan,- kunirumba inaku pinalulu,"jangan lagi saya dilana anyam: um -i, menganyam, um - ikee, menganyamkan moana menyirat: - buani, menyi"
ana,anak,- ndonia nggiro'o,anak mudaitu
anadalohako,anak-anak,- ari aalaa nggiro'o mota'u lumango,
anak-anak,dari,rungai itu pintar berenang,
anai'uhu,anak bungsu,ieto onataataa faa sanmggano,dialah anak bungsu yang tidak ada baju topengnya
ana.ruo,anak kembar,nggiro 'o - meambo,anak kernbar itu baik
anakoda,nokada,kuonggo mo'olikee - inea,akan saya datang rnembelikan pinang untuk nakoda
anadalo,anak-anak bayi,laeto pelua'ako obeli tewindanoto - sedang darah keluar,lahirlah bayi
anando,anak kita,nopesarapukee - i wuta Sina,dipertunangkan
anak,kita di tanah Cina,pe'ana beranak,"bersalin: inae - i wingi, siapa bersalin tadi rnalam? pe'anakee rnelahirkan, mernperanakkan"
anabangga,biduk,- nggiroo ari ito inindio,biduk itu sudah selesai dikeljakan
ana,mohewu bocah,ana dalo nggiro'o laipo -,anak itu masih bocah
anahoma,belukar,- toro morome i pamba aalaa,hutan belukar tumhuh dengan suburnya di pinggir
anakia,raja,tuluranotaa madupa,perkataan raja tidak terbukti
anakia,bangsawan,- mbatola,bangsawan yang rnemegang tarnpuk pedewa (sangia) atau putra rnahkota
anakiahako,sernua bangsawan,rolaa mbelue nggiro'o - sernua,
anamotuo,orang tua,tooto nonio - no,sudah tidak ada orang tuanya
anandonia,pernuda,toono nggiro'o monggii - laalako i kambo,orang itu melihat pernuda yang pergi ke
anandumunge,layang-layang rurnah,lakonoto i Oheo momone -,"lalu Oheo memanjat di layang-layang '""'""IP"" jari kelingking"
anawai,bidadari,i wowono-kuri - ndomumu dange wulaa,"(nama buah-buahan), konon dia adalah bidadari di puncak pohon dangge 2 Anawai nama orang: metobokee pisano - i purit-tahi, Anawi menikamkan pisaunya di dasar laut"
Anawaingguluri,Anawaingguluri,te' eni i -,Anawaingguluri berkata
ana,dalo anak-anak,tano 'ehe momboedea - laaumi'ia,tidak mau mendengar anak-anak yang mena
anawula,bintang,telate - i lahuene,bertaburan bintang di langit
asorupa,sebintang,i Amin ronga i A ti hende-hendeno -,Amin dan
Ati,rupanya sebintang,pokondau tekono ne ana wula perbintangan,
andi-ancli,anting-anting,ana dalo niino mombake - wulaa,anak ini
andonga,"pusat, tengah",iinimo,"di aniko, me'aniko"
andoolo,belantara,- motou nggiro 'o molua mbuupuu,hutan belantara
"ane, oane",anai-anai,tusa laikano no kasi -,tiang rumahnya dimakan
angga,sibuk,la'iroto - anotebua i Tolohoru membesui-sui,"sementara mereka sibuk, muncullah To"
anggalo,lembah,rotambeli'ito sao owosw noponoki'i ngara -,mereka temukan ular besar yang memenuhi dasar lembah
aa,JUJgOlo lembah-lembah,tepopo -,"lembah-lembah yang baanggari kaduito ro tekokoni - kaa nobakale wata mate, mereka cukup kaget karena bergelimpananggo semacam nyanyian dengan tari: mombodea o -, mendengar semacam nyanyian dengan tari"
ani,kulit,hendekaa bokeo tade-tadeno ronga mo'uso - no,seperti buaya rupanya dan warna kulitnya hijau
aniulu,kulit kepala,iepo anotelowa mbele'esundoona,"barulah bersayat lebih dahulu kulit kepala aniko, a-e'-""o saya tarik kam: - peeka iwawondobi, saya tarik kamu naik ke atas tebing"
animo,kebun,- pebungaa,"kebun 1 ano dengan: hende owula - mataolee, seperti bulan dengan mata"
anomokora,dengan kuat,"pepoiindi """"",supaya berpegang dengan.
ano,dan,poombiaapi-api,rokok
ano,dia,Iyeto aalaano konawe'oha - molinde,itulah sebabnya sungai 480o lalu
anoamba,lalu,- i Tolohoru mombeopeonasa,"lalu Tolohoru mera580o nanti: mbiha-mbiha - inano ehe, jangan-jangan nanti ibunya 680o sebabnya: ieto - petamo mate' aka ""Langgaimoriana,"" itulah sebabnya diberi nama tetap ""Lang7 ano hanya: - aso lawato tawano, hanya satu lembar daunnya"
ano,supaya,- kadu o pitu o wingi,
anolaa,supaya ada,- anaro o ruo,supaya ada ·dua anak mereka
anowatukee,supaya dia ikut,- o hawo tinulurano,supaya dia ikut
apa-apa,dikatakannya,- 80oarindo supaya sudah: - monduka'ako,supaya sudah mendaki gunung
ano,poia supaya tinggal,- i tolohoru,supaya Tolohoru tinggal
ano,kalau,- dunggu oleo ano leu tandai mesukohakoita,"kalau sampai harinya, dia datang memberi tanda dan mereka bertanya"
anoloa,kalau ada,- henae ni'ino mendaa nolumele,"kalau ada seperti ini, panjang menjalamya 10. h'k'ku ano sampru: wo z z ro - maroa, cuci periuk sampai bersih"
ano,kemudian,- mendiaona,kemudian ia pun hamillah
anoamba,kemudian,- leu tumunu 'ike,kemudian dia datang mem
ano,lagi,- amba,lagi pula
ano,kenapa,- laa hende neino mendaa nolumele,"kenapa ada seperti ini panjangnya menjalar? · 1480o baru, lantas: o tolu o ta'u no lako - leu mbendua, tiga tahun dia pergi baru datang kembali"
ano,sehingga,anomate sehingga mati,
ano,bahwa,aro te'eninggeenoleundo sarapuno,mereka mem17 ano maka
anoene,pergi ke sana,nggiro'o o /ale - tumoko ine palako,lalat itu pergi ke sana dan bertengger di
anoleu,datang,laito tekura - o /ale,"sementara putus asa, datang lalat"
anondee,biasa,- dadiko kiniino mbongga'aro kuluri,biasa banyak dilihatnya bekas makanan burung
ao,"aur, bambu",faa nggo pendamokee i une - i kirotokaa anotekai,"akan dimaksukaan ke dalam aur, di situlah ia tertangkap atau terkurung"
api,api,anoinau mekalikee itonga lea -,dia ke sana membuang di
api-api,korek api,- nggu,korek api
apu,raja,ro onggo ene wowa 'iro - no ro faa meohaki,mereka akan ke sana untuk mengobati rajanya yang sedang sakit
apuno,rajanya,i wawona kuri -,barangkali di atas rajanya
"ara, araarai",coba-cobalah,- kuri wowaikomami Tolohoru,cobacobalah obati karni Toloharu
atoaraarai,kita mencoba,,".,... atopaapaambaio ni'ino alando, kita"
a,rmo telaga,i pamba -,di pinggir
arataa,kain,i ina mongondi -,ibu
"are, moare",kering,- ito iwoino nggiro 'o pangemba,sudah kering ait
ari,"d... d ""b d. an",z maaoa,1 u an pasar
ariikaa,dari situ,- ikiro i puunggasu,dari situ di pohon kayu
ari,selesai,ieponopu'uwine hinawono,baru selesai bibit dihamburkannya
ariitokaa,selesailah,"sabutuno mangarubi ""' onia niowaino Lelewuta",tepat magrib selesailah rakit
ari,"sudah, telah",inggani - kumii kanotauhano,kami sudah melihat kepandaiannya
ariito,sudah,"""' inukuru kinaamu",makananmu sudah diukur
ariito,dia sudah,"""' monduka 'ako",dia sudah mendaki gunung
ariarito,sudah,ihende mongga,seperti sudah makan
arindo,sudah,keno - umolohu 'i sao owosw,kalau sudah ditelan ular besar
ari-arindo,sesudah,- i kiro mbusopu lako-lako inau i aahua,"sesudah itu, lalu tukang besi pergi ke sumur"
arino,sesudahnya,"saa ""' mebaho lakonoto mbule i laika","sesudah mandi, lalu kembali ke iumah"
ari-ari,yang telah,"luwuako toono ""' tineeniakonggu leu tumulungiaku","semua sanak saudara yang telah say a undang datang menolong4 -. ""b h. k h. an, an-an er enti"
"ari, ari-ari",tentang,ipue sumaruitinea/ohino,nenek menceritakan
"ari, tempat pemah",mereka,!euito ona odonga ipamba aalaa - medandi owingi,datanglah rusa di pinggir sungai tempat pemah me
ari-ari,sembuh,- to rungguno,sudah sembuh penyakitnya
anoarhari,berhenti,iepo ona - ndemekaa inelaino mokole,barulah berhenti menggigit di lengan
ariaa,asal,aso iwoi -,ariaa asal.:
ariaa,asai,aso iwoi -,berasal dart
ariarinoikaa,dari atas,- kolopua imumu osu,dari atas gunung kura
ari,fue dengan,kupeekarii simru - wotu meambo,saya menempatinya sesuai dengan waktu yang
ari,ine daripada,sisino niowai - i wulaa,cincinnya terbuat dari pada
ari,ine oleh,iyee mberanoto nimeiriako - guruno,ia sangat disa
arimbiha,pemah,aleono tano - mowaka,harinya tidak pemah luka
arirnbo,nanti,- akute'eninggo 'o,nantilah saya beri tahukan engkau
aro,mereka,hanggari noaso mbesisipako -,hanya satu tempat ber
aro,mearo lapar,i bio - dahu,Bio
asa,siak,imbe lako ananggu,pergi
asaki,seberang,i ngapano mokele i - ndahi,di pelabuhan raja di se
asala,asal,mana metunggo - no meambo,"biar mahal, asal bagus"
asara,asar (sembahyang),sabutuno - dungguno i Tolohoru i wawo rahano,"mokole, tepat asar sampai ue, o ue dagu: aseno haino mowaka, asi, pe'asikeemenyelipkan: noi lolu nggasoro, dia menyelipkan di"
aso,satu,monggo -,satu kali
asoki,satu pun,he maa o - inggo 'o ana dalo,"ya, biar satu pun engkau adalah anak-anak"
aso-aso,satu-satu,ikirotokaa aro ambambeengaa - itoono,di situ saja mereka mengamuk satu-satu
asombole,sepucuk,- mariana,sepucuk meriarnnya
asobanggona,satu kelompok,- tii tiisu,satu kelompok burung puyuhhutan
asombole,satu potong,- o kasu,satu potong kayu
asobita,sedikit,laa purundawa mana -,"ada sayur, tetapi sedikit"
asohoru,seberang,ne /au ari - ndahi,"dia datang dari seberang laut asombe,.-'asombewiso masuk semua"
ata,"hamba, budak",mbera - hakono leu mesombe ine mokole,setiap budaknya datang bersembah sujud kepada raja
atahako,semua budak,lakorotakaa ombombekasi lo-silo mata' aka,lalu semua budak meliriklirik mata
atahakonggu,budak-budak,i wawonukuri -,barangkali di atas (di
ate,hati,- uti,hati biawak
ate,wue paru-paru,- no toano nggiroo kamba,paru-paru orang itu
ato,kita,- lako meraonga-ronga,kita pergi bersarna-sarna
atooru,kita segera,ngapanoto mo- . kele j Aasakindahi - meopolaha nggo pelaika'ando,"pelabuhan raja di seberang laut, kita segera mencarl untuk membuat rumah kita"
atoto,kita akan,keto totandamua ·- mbenderumba,"kita akan berangkat, lalu kita beijatuhan"
ato,atap,- se,atap seng
atopii,diberi atap,- ano horopi 'i,diberi atap dan diberi lantai
atawa,atau,pokosiikee ruo - tolu,simpanlah dua a tau tiga
au,engkau,- lako modinggu,engkau pergi menumbuk rarnai-rarnai (semacarn permainan yang menggunakan lesung)
au'to,engkau akan,maa - to tesehe - to tesaki,kini engkau akan buka mata kalau mendengar bunyi gerak satu kali
au,kaa. engkau,- me 'oli-oli'aka,engkau akan menyesal
au,kaa kiranya,- lakotokaa,so
au,"llaa kiranya, semoga kau",-salama,kiranya kau selarnat
au,supaya karnu,- lakotokaa,supaya karnu saja yang pergi
au,mowohu supaya kenyang,ponggaato -,makanlah supaya kenyang
au,ronga supaya dengan,-pepusu moro-mororo,supaya dengan menutup mata kuat-kuat
au,aro supaya engkau cepat,maa ale 'ito - mbule,ya arnbillah supaya engkau cepat pulang
auki,nanti,oolu'ikaa le'esu - dumulu 'i sarapumu,"tunggulah dahulu, nanti engkau gauli istrimu"
auti,nama karnpung,iyeto ano tinamoako -,"itulah sebabnya dinamakan Auti (tempat berbiawak moako -, itulah sebabnya dinamakan Auti (tempat berbiawak)"
auto,bahwa,te'enitokaa mbueno - umewa 'i amamu,berkata neneknya bahwa engkau akan melawan
awi,pangku,tekono kumopu 'i baisa ndinano ano -,terus dia peluk mertua perempuannya dan dia pangku di atas pahanya
umawi-awi'i,memangk,u di atas paha: ku ehei - ananggu,"saya suka memangk:u anakku awu, meawu berdebu: keno kioki notudu ousa o sala -, kalau tidak turun hujan jalan berdebu"
"baba, babai gendong",dengan sarong,leu umalei - mbele 'esu,"datang mengambil, gendong dengan sa"
babu,baju,- nggu o wose,bajuku besar
bedak,itu,,
mbebada,berbedak,mo'oru-oru ihiro -,pagi-pagi mereka berbedak
mebada,berbedak,"momahemoki keu ari ""'laule","note'eni ana ndonia, ""Alangkah cantik gadis itu kalau sudah berbedak,"" kata anak muda"
badai,membedaki,iee - anano,dia membedaki anaknya
mokobebadai,membedakkan,mesi-mesidato - anano i ana,rajinrajinlah membedakkan anak ani
bagaa,bagan,i -,"di bagan lbage tingkah: dadio osi itoomu - mu, cukup banyak juga tingkahmu"
bageno,tingkah lakunya,dadio' itokaa nggiro 'a ana dalo - bannyak sekali tingkah ·laku anak,
bage,bagei diganggu,iamoto lako -,
baguli,kelereng,o pitu -. nggu,kele
baho,bahoi mandikan,lako mo'alo i-oi ana leu -,pergi mengambil air dan datanglah memandikannya
mbebaho-baho,mandi-mandi,"nora onggo mbelako """" i aalaa",mereka akan pergi mandi-mandi di sungai
mebahoii,menadikan,i biohaino,Bio menadikan adiknya
mebaho,mandi,no tiro 1aa ana da· lo,"..., dia lihat ada anak-anak man"
m-baho-baho,mandi-mandi,luale nggiro'o - gadis itu mandi·mandi,
baiasa,mertua,motuo ito - nggu,su
bakati,gigit,no -,dia gigit
baki,keranjang,ne -,di keranjang
bakoe,"kenapa, mengapa",- nggiro'o ana dalo,mengapa anak itu?
bakula,bingkah (gumpal),aso - o wuta,sebingkah tanah
bakuru,burung tekukur,iee mooho - iainimo,"dia menjerat burung l*anda belanja: - no i ina ingani oleo rua sowu ikila rupia, belanja Ibu hari ini hanya dua ribu-rupiah"
balandaku,membelanjakan,ieehapo-hapono ine sala meambo,ia membelanjakan hartanya di jalan yang baik
balandaH,membalanjai,iee taetadeno ikila - anano,ia tetap mem
belanjai,anaknya,,
balandaano,perbelanjaannya,iee tumitirii - ia menghemat perbebalandete Belandete (nama kampung): tamono -,namanya Balan
"balasi, mobalasi",membalas,no tidu aku lakongguto -,"dia tinju saya,"
balatu,belacu,kai - meamboniowai paalua,kain belacu baik dibuat
ban,tal,,
balipo,biarlah,maa - upepate'aku,"ya, biarlah engkau bunuh saya"
balipo,bolehlah,- auina'u inggoo mokosio,"bolelah engkau ke sana, bana'api, mbana'api"
balipo,baiklah,- kuewali peteiambolu miu,"baiklah aku menjadi -alipo lebih baik: - inggomiu, lebih"
balitokaa,biarlah,oruo toano mate,biarlah dua orang yang meninggal
balo,belok,aha lako mondehe o -,pagi-pagi sekali pergi menarik ba
balo,belang,kinku - dadio wuta ndoraa,"kerbau belang banyak di balu, mebalu-balu berjualan, berdagang"
"balula, mombalulu",menggulung,- ambahi moana ambahi,menggulung tikar mengayam tikar
"balulu, mombalulu",menggulung,tebua - ambahi i bio,Bio muncul
"baluta, si baluta",saling bergumul,i bio ronga i batulu -,Bio dengan
"bana'api, mbana'api",senjata,saponggi'ino o donga lakonoto batukeino,"begitu dia lihat rusa, lalu dia bande, o bjlllde .bande, o bande banci: - nggiro'o motua mosusua, banci itu pandai"
bandera,bendera,no kapa/a nggiro'o tehila ito,bendera kapal itu sudah robek
bandu,Bandung,inaku lako imeronga i pue,saya pergi ke Ban
bangga,"rakit, perahu",nedadio to' ono,di rakit (perahu) banyak orang
banggona,1 kelompok,aso - tiiliisu,satu kelompok hutan
bania,Bania (nama orang),i Tongga i La-,si Tongga La Bania
bara,angin barat,- me/aandee,
bara,bahwa,bawono - haino ariito kawi,kabarnya bahwa adiknya te-ara katanya
barahala,berhala,toano nggiro 'o mesamba -,orang itu menyembah
baraka,berkat,- no doano anamatuono ano /ulusi meambo,berkat dua orang tuanya ia lulus dengan
baralia,berlian,ieto basano paramata motunggo mbuupuu olino,berlian adalah sejenis permata sangat rna
barua,beruang,pewiso kolele mosoko,beruang termasuk binatang
basa,baca,i tolohoru ano - i doa bisano,Tolohoru (dia) baca gunaguna mujarabnya
basai,dibaca,/akonoto...... teruslah dibaca,
basa,bangsa,/aa o tuono butu ine - no,ada gunanya terhadap bangsa
basu,bakul,padenggu aso -,parang
bata-bata,bimbang,anadalo nggiro 'o -,anak itu bimbang
Batara,Batara (nama orang),- Lattu,
bato,ekor,ihiro mooli hapu/o - o manu,mereka me'mbeli sepuluh
batua.,batuano artinya,- pekolo'aro /mba,mereka menggendong lmba
Batulu,nama diri persona (orang),/akoano i - momeha-meha,Batulu
bau,babu blus,- nggiro'o wuohupo no olii i ina,blus itu dibeli oleh
"bawa,bilwaano",kawannya,mbetuha - o hada,turun kawan kera
bawahako,rombongan,- o hada,
"bawo, o",bawo,berita,
bawano,pemberitahuan,- ia ama dungguito i kamba,pemberitaan ayah sudah sarnpai di kampung
"bea, mobea",berat,o/awu nggiro'o - sawatuu,besi itu sangat berat
bebeatii,memberati,iamo usupeda nggiro'o,jangan engkau
beangga,kumbang,tumbu nggaluku nggiro'o nokali -,pucuk kelapa
bebe,itik,ta'ino o - pekalikee,kotoran itik harus dibuang
beca,becak,tukaa -,tukang becak
be'e,karnbing,ana -,anak kambing
beenge,bingung,no - laai pinesuko ako pasipole nggiro 'o,bingung ketika ditanyai hal itu
beka,kucing,- nggu koro ehe lako,kucingku tidak mau pergi
beke,babi,kaduito o woseno nggiro'o o -,cukup besar bagi iti
"bele, o bele",belek,- doee nggiro'o meia iano,belek kosong itu nya-
beli,darah,hanggari o - laala'ieikaa tesolono konia tembono,hanya darah yang keluar tidak henti-hentinya
membell,berdarah,i kirotokaa ana -. pada saat itu lengasung berdarah,
belino,darahnya,/aula sani sumusuki'i laaano - gadis sani mena,
mewaheako,membelok,obangga nggiro 'o - i hana,perahu itu
membelok,ke kanan,hiasan,
bern,bela biri-biri,- nggiro 'o laa mangga o kura,biri-biri itu semen
benda,kurang,kioki no -,tidak ku
"bende, o bende",benteng,luwuako sorodadu nggombania moia i une -,semua serdadi kompeni tinggal di dalam benteng
mebende,berbenteng,iee - nggaunggauno mamusua,ia berbenteng selama dalam pertempuran
bendiro,membentangi,inggito ato /ala ieesorodadu nggiro'o,kita tetap membentengi prajurit itu
benggele,bengkel,- nggiro'o menggau ito menggookoro,bengkel itu sudah lama berdiri
benggeleno,perbengkelan,- pak amin menggauito tinunu,perbengkelan Pak Amin sudah lama ditu
"benggi, o benggi",l tempayan,iee mo,
musu,"-, ia membuat tempayan",2 guci: hendekaa iwoi sinolongako ari i una -,seperti air saja ditumpahkan dari dalam guci
bensgolo,benggol,- ieto doi tambaga,"benggol adalah uang tem-nu, o benu sabut: - ronga oulo notunui hainggu, sabut dan tem"
